Q,A
Can I use my employee ID card as a company ID as a proof of employment?,Yes you can use your employee ID card as a company ID as proof of employment
Which Government IDs are acceptable?,Voter ID Card/PAN Card/Passport/Driving License/10th Marksheet/ Any other document specified by the State Government 
Is there a format for Offer Letter / Company ID / Salary Slip etc?,"There is no predefined template for Offer Letter/ Company Id / Salary slip etc. You can use your company’s format as long as the document is an Image( Jpeg, PNG) OR a PDF Document under 2 MB."
Should my mobile number/ email id be the same as those mapped to my govt. ID?,"Please ensure that the details provided are in line with your Government ID (Aadhaar / PAN / Voter ID / Passport / Driving License/ Any other document specified by the State Government) and Bank Account.

Kindly note that the Government ID and bank account details should match with each other and the same will be used while processing for GOI Incentives/Assessment Reimbursement.
Please go through the FutureSkills Prime scheme terms and conditions."
"What is DigiLocker, why do I need to upload my credentials to it?","DigiLocker is a flagship initiative of Ministry of Electronics & IT (MeitY) under Digital India program. DigiLocker aims at ‘Digital Empowerment’ of citizen by providing access to authentic digital documents to citizen’s digital document wallet. The issued documents in DigiLocker system are deemed to be at par with original physical documents as per Rule 9A of the Information Technology (Preservation and Retention of Information by Intermediaries providing Digital Locker facilities)

Rules, 2016 notified on February 8, 2017 vide G.S.R. 711(E). 
There are many benefits to uploading credentials to DigiLocker:
1.Important Documents Anytime, anywhere!
2.Authentic Documents, Legally at Par with Originals.
3.Digital Document Exchange with the consent of the citizen.
4.Faster Service Delivery- Government Benefits, Employment, Financial Inclusion, Education, Health."
How much time does it take to upload the credential on DigiLocker?,The DigiLocker platform may take 30-60 seconds to fetch and upload the document. The actual time taken may vary depending on internet connectivity or other issues.
Can I make a separate DigiLocker account for FSP?,Please note linking of same Aadhaar number with 2 DigiLocker accounts is not permissible.
"My credential is not getting uploaded on DigiLocker, what should I do?","a. Did you signup on FutureskillsPrime platform (learn.futureskillsprime.in) with identical First Name, Last Name, Date of Birth as those mentioned in DigiLocker?
To check these details on the FutureSkillsPrime platform (Click on ‘Avatar Image’ with your name>>>Edit Profile>>>Profile Details and Other Details.

b. Did you enter the current certificate ID?
In case none of the above are an issue, please try again on DigiLocker after some time. For additional support please reach back to us."
Can I upload any existing completions certificates obtained from the FSP platform on DigiLocker?,"Yes, you can upload your SSC NASSCOM certifications received on successfully passing the assessments on the platform."
From where do I get the certificate ID?,"Follow these steps
For Web
1.Visit https://learn.futureskillsprime.in/me/
2.On Profile page scroll to Certifications section at the bottom                                 
3.Click on the certificate that you wish to upload
4.The Certificate ID would be displayed under the certificate Title and Description                                                                                                                                                                                                                                               
For App
1.Click on the avatar image on the top left banner
2.Click on ‘View Profile’ under your name
3.Scroll to ‘Certificates’ sec. Click on the certificate that you wish to upload 
4.The Certificate ID would be displayed under the certificate Title and Description"
Where do I find FutureSkills Prime on Digilocker?,"Follow these steps to
1.Login to the DigiLocker on the web or open the app 
2.Search for NASSCOM OR Navigate to 'NASSCOM' tile under Education 
3.Click on Skill Enhancement / Proficiency Certificate tile 
4.Add your certificate ID (Passed Assessment) for search
5.Click on GetDocument
6.Click on Issued Documents to confirm successful upload"
Can I upload my Badges to DigiLocker?,"No, currently only SSC NASSCOM certifications received on successfully passing the assessments on the platform can be uploaded."
"My Name, Date of Birth does not match in Digilocker, what can I do?","In case your details on FutureSkills Prime need to be modified please contact us, support@futureskillsprime.in "
Where do I find DigiLocker on FSP?,"Follow these steps: 
1.Click Mylearning
2.Useful links"
How can I access FSP documents through DigiLocker application?,This section shows list of URIs (links) of digital documents or certificates issued by the SSC NASSCOM uploaded to DigiLocker.
Can I make a separate DigiLocker account for FSP?,Please note linking of same Aadhaar number with 2 DigiLocker accounts is not permissible.
What documents can be uploaded on DigiLocker from FSP?,You can upload your SSC NASSCOM certifications received on successfully passing the assessments on the platform.
How do I earn a badge?,"Badges are earned for both Pathway completion and course completion. A Pathway may include a course. When you visit the pathway after successful completion of that Pathway, you will be notified that you have earned a badge. The badge will be available for you in the Skills Passport from where you can share it on social media channels."
How can I earn a badge?,"Badges are earned for both Pathway completion and course completion. A Pathway may include a course. When you visit the pathway after successful completion of that Pathway, you will be notified that you have earned a badge. The badge will be available for you in the Skills Passport from where you can share it on social media channels."
Where can I find a badge?,"Badges are earned for both Pathway completion and course completion. A Pathway may include a course. When you visit the pathway after successful completion of that Pathway, you will be notified that you have earned a badge. The badge will be available for you in the Skills Passport from where you can share it on social media channels."
How to earn a baggr?,"Badges are earned for both Pathway completion and course completion. A Pathway may include a course. When you visit the pathway after successful completion of that Pathway, you will be notified that you have earned a badge. The badge will be available for you in the Skills Passport from where you can share it on social media channels."
Why are badges earned?,"Badges are earned for both Pathway completion and course completion. A Pathway may include a course. When you visit the pathway after successful completion of that Pathway, you will be notified that you have earned a badge. The badge will be available for you in the Skills Passport from where you can share it on social media channels."
How do I earn badges?,"Badges are earned for both Pathway completion and course completion. A Pathway may include a course. When you visit the pathway after successful completion of that Pathway, you will be notified that you have earned a badge. The badge will be available for you in the Skills Passport from where you can share it on social media channels."
How can I earn badges?,"Badges are earned for both Pathway completion and course completion. A Pathway may include a course. When you visit the pathway after successful completion of that Pathway, you will be notified that you have earned a badge. The badge will be available for you in the Skills Passport from where you can share it on social media channels."
What is Skill Passport?,Your Skills Passport stores all your badges earned on the FutureSkills Prime Platform. You can also upload certificates that you are awarded via this Program in the Skills Passport. Skills Passport also allows you to share your achievements with your LinkedIn network.
What is a Skill Passport?,Your Skills Passport stores all your badges earned on the FutureSkills Prime Platform. You can also upload certificates that you are awarded via this Program in the Skills Passport. Skills Passport also allows you to share your achievements with your LinkedIn network.
Why do we need skill passport?,Your Skills Passport stores all your badges earned on the FutureSkills Prime Platform. You can also upload certificates that you are awarded via this Program in the Skills Passport. Skills Passport also allows you to share your achievements with your LinkedIn network.
What are Pathways?,"Pathways are short duration structured learning content based on specific learning outcomes. The content for each Pathway is curated in collaboration with industry experts. Going through a Pathway will increase your awareness on the subject. 
A typical Pathway would be 30 minutes wherein you can read articles, blogs, watch video or listen to a podcast on the given topic. Once you consume the Pathway, you can take a quiz to test your understanding on the topic and earn a badge. You can share these badges on social media to showcase your ongoing efforts in building your skills."
Where can I see my badges?,"Your badges are available in the Skills Passport. 
To access the Skills Passport, Click on your name icon in the top banner to the right of the search bar.
In the drop-down menu displayed, click on “Skills Passport”. 
In the Skills Passport, click on “My Badges”. You should see all your badges. "
where is the badges?,"Your badges are available in the Skills Passport. 
To access the Skills Passport, Click on your name icon in the top banner to the right of the search bar.
In the drop-down menu displayed, click on “Skills Passport”. 
In the Skills Passport, click on “My Badges”. You should see all your badges. "
Where are the badges?,"Your badges are available in the Skills Passport. 
To access the Skills Passport, Click on your name icon in the top banner to the right of the search bar.
In the drop-down menu displayed, click on “Skills Passport”. 
In the Skills Passport, click on “My Badges”. You should see all your badges. "
Where can I find my badges?,"Your badges are available in the Skills Passport. 
To access the Skills Passport, Click on your name icon in the top banner to the right of the search bar.
In the drop-down menu displayed, click on “Skills Passport”. 
In the Skills Passport, click on “My Badges”. You should see all your badges. "
Where are my badges located?,"Your badges are available in the Skills Passport. 
To access the Skills Passport, Click on your name icon in the top banner to the right of the search bar.
In the drop-down menu displayed, click on “Skills Passport”. 
In the Skills Passport, click on “My Badges”. You should see all your badges. "
I completed a Pathway but I haven’t received my badge,"If you do not see your badge in the dashboard, please check the following:
Have you read through all SmartCards in the Pathway and answered all questions ? 
Have you attempted the Quiz associated with the Pathway ? 
Have you marked the Pathway complete ? "
I haven’t received my badge,"If you do not see your badge in the dashboard, please check the following:
Have you read through all SmartCards in the Pathway and answered all questions ? 
Have you attempted the Quiz associated with the Pathway ? 
Have you marked the Pathway complete ? "
I haven’t received my badge yet.,"If you do not see your badge in the dashboard, please check the following:
Have you read through all SmartCards in the Pathway and answered all questions ? 
Have you attempted the Quiz associated with the Pathway ? 
Have you marked the Pathway complete ? "
"I haven’t received my badge, event after completing the pathway.","If you do not see your badge in the dashboard, please check the following:
Have you read through all SmartCards in the Pathway and answered all questions ? 
Have you attempted the Quiz associated with the Pathway ? 
Have you marked the Pathway complete ? "
I didn't receive my badge,"If you do not see your badge in the dashboard, please check the following:
Have you read through all SmartCards in the Pathway and answered all questions ? 
Have you attempted the Quiz associated with the Pathway ? 
Have you marked the Pathway complete ? "
I am unable to share my badge on social media,"Click on your name icon in the top banner to the right of the search bar.
In the drop-down, click on Skills Passport. 
On this page click on My Badges.
The badge details will be displayed below. 
In the badge details, click ‘Share with LinkedIn’. "
I couldn't share my badge on social media,"Click on your name icon in the top banner to the right of the search bar.
In the drop-down, click on Skills Passport. 
On this page click on My Badges.
The badge details will be displayed below. 
In the badge details, click ‘Share with LinkedIn’. "
How to share my badge on social media?,"Click on your name icon in the top banner to the right of the search bar.
In the drop-down, click on Skills Passport. 
On this page click on My Badges.
The badge details will be displayed below. 
In the badge details, click ‘Share with LinkedIn’. "
How do I share my badges on social media?,"Click on your name icon in the top banner to the right of the search bar.
In the drop-down, click on Skills Passport. 
On this page click on My Badges.
The badge details will be displayed below. 
In the badge details, click ‘Share with LinkedIn’. "
How do i share my badge with LinkedIn?,"Click on your name icon in the top banner to the right of the search bar.
In the drop-down, click on Skills Passport. 
On this page click on My Badges.
The badge details will be displayed below. 
In the badge details, click ‘Share with LinkedIn’. "
How to share my badge with LinkedIn?,"Click on your name icon in the top banner to the right of the search bar.
In the drop-down, click on Skills Passport. 
On this page click on My Badges.
The badge details will be displayed below. 
In the badge details, click ‘Share with LinkedIn’. "
Can I share my badge with LinkedIn?,"Click on your name icon in the top banner to the right of the search bar.
In the drop-down, click on Skills Passport. 
On this page click on My Badges.
The badge details will be displayed below. 
In the badge details, click ‘Share with LinkedIn’. "
How can I share my badge in LinkedIn?,"Click on your name icon in the top banner to the right of the search bar.
In the drop-down, click on Skills Passport. 
On this page click on My Badges.
The badge details will be displayed below. 
In the badge details, click ‘Share with LinkedIn’. "
What kind of certificates can I earn ?How do I earn a certificate?,"You can earn a certificate for all other courses too on the platform. On successful completions, the course completion certificate will be sent directly to your registered email ID by the course provider. "
What kind of certificates can I earn ?,"You can earn a certificate for all other courses too on the platform. On successful completions, the course completion certificate will be sent directly to your registered email ID by the course provider. "
How do I earn a certificate?,"You can earn a certificate for all other courses too on the platform. On successful completions, the course completion certificate will be sent directly to your registered email ID by the course provider. "
How will the certificates be issued?,"You can earn a certificate for all other courses too on the platform. On successful completions, the course completion certificate will be sent directly to your registered email ID by the course provider. "
What kind of certificates will be provided?,"You can earn a certificate for all other courses too on the platform. On successful completions, the course completion certificate will be sent directly to your registered email ID by the course provider. "
How can I earn a certificate?,"You can earn a certificate for all other courses too on the platform. On successful completions, the course completion certificate will be sent directly to your registered email ID by the course provider. "
I completed a course but haven’t received my certificate,Your course completion certificate will be emailed to your registered email ID. Please check your Inbox and Spam folder.
I haven’t received my certificate,Your course completion certificate will be emailed to your registered email ID. Please check your Inbox and Spam folder.
I Idid not receive my certificate,Your course completion certificate will be emailed to your registered email ID. Please check your Inbox and Spam folder.
I haven’t received my certificate yet,Your course completion certificate will be emailed to your registered email ID. Please check your Inbox and Spam folder.
"I Idid not receive my certificate, even after completing the course.",Your course completion certificate will be emailed to your registered email ID. Please check your Inbox and Spam folder.
How can I post certificates to Skill Passport?,"Click on your name icon in the top banner to the right of the search bar.
In the drop-down, click on Skills Passport and Scroll to the bottom of the page
Click Add Skill. Fill the form displayed to upload your certificate."
How to post certificates to Skill Passport?,"Click on your name icon in the top banner to the right of the search bar.
In the drop-down, click on Skills Passport and Scroll to the bottom of the page
Click Add Skill. Fill the form displayed to upload your certificate."
How should I post my certificates to skill passport?,"Click on your name icon in the top banner to the right of the search bar.
In the drop-down, click on Skills Passport and Scroll to the bottom of the page
Click Add Skill. Fill the form displayed to upload your certificate."
I could not post my certificates to skill passport?,"Click on your name icon in the top banner to the right of the search bar.
In the drop-down, click on Skills Passport and Scroll to the bottom of the page
Click Add Skill. Fill the form displayed to upload your certificate."
How can I post my certificates to Skill Passport?,"Click on your name icon in the top banner to the right of the search bar.
In the drop-down, click on Skills Passport and Scroll to the bottom of the page
Click Add Skill. Fill the form displayed to upload your certificate."
NASSCOM,"Nasscom is focused on building the architecture integral to the development of the technology sector through policy advocacy, and help in setting up the strategic direction for the sector to unleash its potential and dominate newer frontiers. For more details visit :  https://nasscom.in/ "
Futureskills prime,"Futureskills Prime is an initiative by NASSCOM (National Association of Software and Services Companies) to provide upskilling and reskilling programs to help individuals and organizations stay competitive in the rapidly evolving technology industry.

For more details visit: https://futureskillsprime.in/ "
Hi ,Hello there! How can I assist you?
Hello,Hello there! How can I assist you?
Greetings,Hello there! How can I assist you?
Good morning,Hello there! How can I assist you?
Good evening,Hello there! How can I assist you?
Dood afternoon,Hello there! How can I assist you?
Can you help me,Hello there! How can I assist you?
I have a doubt,Hello there! How can I assist you?
Thankyou,"You're welcome! If you need any assistance, feel free to let me know."
Hey,Hello there! How can I assist you?
who are you,I'm FSP Chatbot! I'm designed to help you with answering your queries related to Futureskills prime.
What are the courses available in futureskills prime,"There are various courses available on Futureskills Prime, covering a wide range of topics such as Artificial Intelligence, Cybersecurity, Cloud Computing, Data Science, Internet of Things (IoT), and many others. Some of the popular courses available on Futureskills Prime include:

Machine Learning
Python Programming
Big Data Analytics
DevOps
Blockchain
Full Stack Development
Digital Marketing
These courses are offered by leading technology companies and educational institutions, and are designed to provide learners with the knowledge and skills they need to succeed in the digital age."
Are free courses offered by futureskills prime,"Yes, Futureskills Prime offers both free and paid courses. The platform provides learners with access to a wide range of free courses that cover various topics, including emerging technologies, digital business transformation, and soft skills. "
Can anyone enroll for a course on futureskillsprime,"Yes, anyone can enroll for a course on Futureskills Prime. The platform is open to learners of all ages and backgrounds, and there are no specific eligibility criteria for enrolling in a course."
,
,
hi,Hello! How can I help you today?
hi,Hi there! What can I assist you with?
hi,Welcome! How can I be of service?
hi,Greetings! What brings you here?
hi,Hey! How can I make your day better?
hi,Hi! How can I provide you with information?
hi,Hello! What can I do for you right now?
hi,Hey there! How can I assist you today?
hi,Greetings! How may I support you?
hi,Hi! What can I do to assist you on this fine day?
,
helo,Hello! How can I help you today?
helo,Hi there! What can I assist you with?
helo,Welcome! How can I be of service?
helo,Greetings! What brings you here?
helo,Hey! How can I make your day better?
helo,Hi! How can I provide you with information?
helo,Hello! What can I do for you right now?
helo,Hey there! How can I assist you today?
helo,Greetings! How may I support you?
helo,Hi! What can I do to assist you on this fine day?
,
hello,Hello! How can I help you today?
hello,Hi there! What can I assist you with?
hello,Welcome! How can I be of service?
hello,Greetings! What brings you here?
hello,Hey! How can I make your day better?
hello,Hi! How can I provide you with information?
hello,Hello! What can I do for you right now?
hello,Hey there! How can I assist you today?
hello,Greetings! How may I support you?
hello,Hi! What can I do to assist you on this fine day?
How to enroll for a course in futureskills prime,"To start a course, click on the course ->  a brief course description will be displayed followed by a link called “View More”. 
Click on the View More link to start the course. "
How can I enroll for a course in futureskills prime,"To start a course, click on the course ->  a brief course description will be displayed followed by a link called “View More”. 
Click on the View More link to start the course. "
"Artificial Intelligence","Artificial Intelligence (AI) has turned from a niche area into mainstream computer science. From chess-playing computers to self-driving vehicles, AI is progressing rapidly and touching every aspect of our lives."
